City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
306,Vila Do Maio,CV,78.8,clear sky,15.13,-23.22,Residence 'I Delfini'
311,Acari,PE,79.41,clear sky,-15.43,-74.62,Hospedaje Ximens
316,Mount Isa,AU,75.2,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
320,Dingle,PH,76.06,light rain,11.0,122.67,Camp Pasica
325,Champerico,GT,87.8,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
326,Kupang,ID,79.2,broken clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
334,Cururupu,BR,86.32,overcast clouds,-1.83,-44.87,Pousada Través'cia
341,Bartica,GY,78.8,light rain,6.4,-58.62,La Vista Hotel and Apartment
353,Turayf,SA,78.8,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
357,Bonthe,SL,79.41,heavy intensity rain,7.53,-12.51,Bonthe Holiday Village
358,Hobyo,SO,81.07,light rain,5.35,48.53,Osmani Hotel
361,Atar,MR,89.35,clear sky,20.52,-13.05,Oumou Elghoura
366,Tarakan,ID,81.55,moderate rain,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
370,Cotonou,BJ,82.4,scattered clouds,6.37,2.42,Novotel Cotonou Orisha
372,Port Hedland,AU,75.2,clear sky,-20.32,118.57,The Esplanade Hotel
379,Tahoua,NE,84.2,clear sky,14.89,5.27,Bungalows Guesthouse
380,El Dorado,US,79.0,clear sky,38.77,-120.52,Bridal Veil Campground
381,Norsup,VU,75.2,broken clouds,-16.07,167.38,Nabelchel Bungalows
384,Paita,PE,75.2,clear sky,-5.09,-81.11,Hotel Náutico de Paita
386,Barra Do Corda,BR,82.53,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
387,Tagusao,PH,79.43,heavy intensity rain,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
392,San Patricio,US,82.4,scattered clouds,28.02,-97.52,"Motel 6 Sinton, TX"
395,Acapulco,MX,87.8,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
397,Eyl,SO,78.22,broken clouds,7.98,49.82,Amiin Hotel
405,Cartagena,CO,87.8,scattered clouds,10.4,-75.51,Costa Del Sol
406,Wad Madani,SD,87.08,clear sky,14.4,33.52,فندق يوغسلافيا
412,Katobu,ID,75.72,few clouds,-4.94,122.53,La Ode Husein
415,Denpasar,ID,79.52,light rain,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
418,Kumasi,GH,77.85,overcast clouds,6.69,-1.62,Okumah Hotels | Kumasi
419,Santo Domingo,DO,86.0,overcast clouds,18.5,-69.99,Micro Hotel Condo Suites
428,Anloga,GH,82.4,scattered clouds,5.79,0.9,Pin Drop Hotel
430,Moanda,GA,77.0,thunderstorm,-1.56,13.22,Motel Hippo +
434,Sao Filipe,CV,77.25,overcast clouds,14.9,-24.5,Tortuga B&B
439,Lorengau,PG,80.96,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
440,Morro Bay,US,86.0,clear sky,35.37,-120.85,Inn at Morro Bay
441,Kavieng,PG,83.05,light rain,-2.57,150.8,Nusa Island Retreat
443,Kloulklubed,PW,77.0,overcast clouds,7.04,134.26,Storyboard Beach Resort
444,Cabedelo,BR,82.4,clear sky,-6.98,-34.83,Lua Mansa Pousada
448,Cape Canaveral,US,79.0,broken clouds,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
450,Namatanai,PG,80.65,light rain,-3.67,152.43,Namatanai Hotel
452,Kimbe,PG,75.6,overcast clouds,-5.55,150.14,Kimbe Bay Hotel
456,Gouyave,GD,86.0,few clouds,12.16,-61.73,Rumboat Retreat
457,Mmathubudukwane,BW,75.2,clear sky,-24.6,26.43,Gill Sleepover Guesthouse
466,Kununurra,AU,77.0,clear sky,-15.77,128.73,Hotel Kununurra
469,Miri,MY,75.2,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
472,Dakar,SN,86.0,clear sky,14.69,-17.44,Novotel Dakar
473,Lavumisa,SZ,86.0,overcast clouds,-27.31,31.89,ROADSIDE B&B
478,Cuamba,MZ,80.71,clear sky,-14.8,36.54,Hotel Vision
484,Juazeiro,BR,75.2,light rain,-9.41,-40.5,JB Hotel
488,Posse,BR,78.19,moderate rain,-14.09,-46.37,Pousada das Palmeiras
491,Sulangan,PH,81.0,moderate rain,11.14,123.72,Maia's Beach Resort
492,Tiarei,PF,84.2,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
495,Bilma,NE,75.56,clear sky,18.69,12.92,Expeditions Ténére voyages
498,Yabassi,CM,80.6,thunderstorm with light rain,4.46,9.97,MOTEL FOMI
501,Manacapuru,BR,87.8,few clouds,-3.3,-60.62,Novo Hotel
504,San Policarpo,PH,79.59,moderate rain,12.18,125.51,Zal-Ann Beach Resort
508,Assomada,CV,78.8,clear sky,15.1,-23.68,Residencial Cosmos
511,Wanlaweyn,SO,76.78,light rain,2.62,44.89,Haji Qasim Hotel
514,Bolgatanga,GH,87.24,clear sky,10.79,-0.85,Mama's Place
516,Gizo,SB,82.63,moderate rain,-8.1,156.84,Imagination Island
519,Oranjestad,AW,84.2,shower rain,12.52,-70.03,Divi Village Golf & Beach Resort
522,Cockburn Town,TC,84.2,broken clouds,21.46,-71.14,Osprey Beach Hotel
527,Mahibadhoo,MV,82.78,broken clouds,3.78,72.97,Omadhoo Inn
528,Cabungan,PH,80.17,overcast clouds,16.34,120.0,Sarmiento Beach House
532,Veraval,IN,80.47,clear sky,20.9,70.37,Lords Inn Somnath
537,Caborca,MX,89.01,scattered clouds,30.58,-111.1,Hotel Los Lagos
544,Matadi,CD,81.97,few clouds,-5.82,13.45,Hotel Fortune
548,Labuhan,ID,79.59,light rain,-6.88,112.21,bador sepret
549,Padang,ID,78.08,moderate rain,-0.95,100.35,Mercure Padang
550,Presidencia Roque Saenz Pena,AR,86.94,broken clouds,-26.79,-60.44,Hotel Aconcagua
555,Salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
557,Parit Buntar,MY,78.8,few clouds,5.13,100.49,K Garden Hotel Parit Buntar
558,Ambon,ID,81.0,broken clouds,-3.7,128.18,Swiss-Belhotel Ambon
560,Viedma,AR,88.63,light rain,-40.81,-63.0,Hotel Cristal
564,Maxixe,MZ,78.8,scattered clouds,-23.86,35.35,Oceano
571,Raypur,IN,75.2,haze,22.41,88.51,Greencloud the club
575,Kavaratti,IN,82.67,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
579,Samarai,PG,79.68,light rain,-10.62,150.67,Nuli Sapi
588,Bubaque,GW,84.15,light rain,11.28,-15.83,"Casa Dora, Bubaque"
592,Shakawe,BW,81.61,overcast clouds,-18.37,21.85,Ditlhapi Guest House
595,Acarau,BR,89.6,clear sky,-2.89,-40.12,castelo pizzaria
601,Aguada De Pasajeros,CU,82.4,shower rain,22.39,-80.85,Soles de Marti
605,Biak,ID,77.41,clear sky,-0.91,122.88,Kost Ariz
608,Kailua,US,81.0,overcast clouds,21.4,-157.74,Sheffield House Bed & Breakfast
609,Pilar,BR,84.2,clear sky,-9.6,-35.96,Pousada e churrascaria Manguaba
616,Chokwe,MZ,82.2,overcast clouds,-24.53,32.98,Complexo Sonho Real
618,Balabac,PH,81.05,light rain,7.99,117.06,Sing and Swing Lodge
622,Nchelenge,ZM,78.04,broken clouds,-9.35,28.73,Mweru Water Transport
626,Ixtapa,MX,86.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
627,Maragogi,BR,81.34,few clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
629,Luganville,VU,75.2,broken clouds,-15.53,167.17,The Espiritu Hotel
630,Porto Novo,BJ,82.4,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
637,Takoradi,GH,80.47,clear sky,4.88,-1.76,Raybow International Hotel
640,Passos,BR,79.92,clear sky,-20.72,-46.61,Hotel Mohallem
643,Vallenar,CL,77.05,few clouds,-28.57,-70.76,Humacao Bed & Breakfast
648,Livramento,BR,87.8,few clouds,-3.03,-60.18,ArteNamata
665,Arawa,PG,77.02,overcast clouds,-6.21,155.54,Coastline Guest House
666,Santo Angelo,BR,82.99,clear sky,-28.3,-54.26,Hotel Nova Esperança Aberto 24h
671,Conde,BR,82.4,clear sky,-7.26,-34.91,Pousada Beija Flor
673,Uvira,CD,76.98,overcast clouds,-3.41,29.15,Auberge Eden City
674,Bongor,TD,85.03,clear sky,10.28,15.37,Complexe le Confort
678,Makakilo City,US,82.4,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
679,Nuevo Progreso,MX,84.99,clear sky,23.17,-97.95,Balneario Rio el Paraiso
680,Sibolga,ID,77.27,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
681,Poum,NC,75.58,few clouds,-20.23,164.02,Gîte kajeon
682,Inhambane,MZ,78.8,scattered clouds,-23.86,35.38,Oceano
684,Las Guacamayas,MX,89.17,clear sky,18.02,-102.22,Posada el Jazmín
685,Kisangani,CD,75.29,broken clouds,0.52,25.2,Grand Ramela Hotel
686,Celestun,MX,80.74,overcast clouds,20.87,-90.4,Posada Lilia
690,Bahia De Caraquez,EC,82.4,few clouds,-0.6,-80.42,La Piedra Hotel
691,Manggar,ID,77.97,heavy intensity rain,-2.88,108.27,Guest Hotel
698,Kudahuvadhoo,MV,82.8,scattered clouds,2.67,72.89,Kudahuvadhoo Retreat
700,Manta,EC,82.4,few clouds,-0.95,-80.73,Balandra Hotel
701,Sola,VU,77.0,broken clouds,-13.88,167.55,Ulkel Guest House
710,Meulaboh,ID,76.06,overcast clouds,4.14,96.13,Kost Pria
717,Dickinson,US,78.01,few clouds,29.46,-95.05,Candlewood Suites League City
